member_id,name,phone,email,date_of_birth,emergency_contact,tier_id
1,Alex,2015550147,alex.smith@email.com,03-14-1992,Harper,1
2,Ben,3125550983,ben.thomas@email.com,07-22-1988,Miles,2
3,Clara,4155557621,clara.jones@email.com,11-05-1996,Lila,1
4,David,5035552390,david.miller@email.com,01-30-1990,Finn,3
5,Emma,6175558742,emma.wilson@email.com,08-17-1985,Aurora,2
6,Fiona,7025554610,fiona.brown@email.com,04-09-1999,Jasper,1
7,Gabriel,8085553305,gabriel.davis@email.com,12-25-1993,Stella,1
8,Hannah,2135559218,hannah.moore@email.com,06-02-1987,Nolan,3
9,Ian,3055557743,ian.taylor@email.com,02-11-2001,Ivy,1
10,Julia,4045556829,julia.anderson@email.com,10-28-1994,Declan,2
11,Kevin,5125554930,kevin.jackson@email.com,05-03-1989,Penelope,1
12,Lucy,7185551156,lucy.martin@email.com,09-16-1998,Silas,3
13,Mason,2065558072,mason.lee@email.com,07-01-1992,Eliza,1
14,Nora,3145556281,nora.turner@email.com,11-19-2000,Theo,2
15,Oliver,9175553497,oliver.hall@email.com,03-08-1986,Violet,1
16,Paige,6465552109,paige.clark@email.com,12-02-1991,Asher,1
17,Quinn,9715554783,quinn.evans@email.com,06-27-1995,Clara,2
18,Ryan,3125555674,ryan.walker@email.com,08-15-1997,Elias,1
19,Sophia,7025558821,sophia.harris@email.com,04-21-1984,Naomi,2
20,Tyler,9545551038,tyler.green@email.com,09-30-1993,Leo,1
