staff_id,name,phone,email,hire_date,is_active,role
1,Aaron,9175554821,aaron.smith@email.com,02-14-2015,Y,Veterinarian
2,Bella,7185552034,bella.johnson@email.com,06-01-2016,Y,Technician
3,Caleb,6465559182,caleb.williams@email.com,09-22-2017,Y,Receptionist
4,Daisy,9295553746,daisy.brown@email.com,03-18-2018,Y,Barista
5,Ethan,2125556701,ethan.jones@email.com,11-05-2016,Y,Veterinarian
6,Faith,3475558293,faith.miller@email.com,07-12-2019,Y,Technician
7,George,5165557402,george.davis@email.com,01-08-2014,Y,Barista
8,Hazel,7185556219,hazel.garcia@email.com,08-30-2019,Y,Receptionist
9,Isaac,6465558374,isaac.rodriguez@email.com,05-17-2018,N,Technician
10,Jasmine,9175554603,jasmine.wilson@email.com,10-25-2020,Y,Receptionist
11,Kyle,2125559827,kyle.moore@email.com,04-16-2017,Y,Veterinarian
12,Leah,3475551038,leah.taylor@email.com,12-05-2015,Y,Technician
13,Matthew,9295556741,matthew.anderson@email.com,03-30-2016,N,Receptionist
14,Natalie,5165552907,natalie.thomas@email.com,09-21-2018,Y,Veterinarian
15,Owen,7185553842,owen.jackson@email.com,06-11-2019,Y,Technician
16,Piper,6465557910,piper.white@email.com,08-15-2017,Y,Receptionist
17,Quinn,9175552058,quinn.harris@email.com,01-08-2020,Y,Veterinarian
18,Riley,2125554763,riley.martin@email.com,11-27-2016,Y,Technician
19,Stella,3475558194,stella.thompson@email.com,05-03-2015,Y,Barista
20,Thomas,9295553627,thomas.lee@email.com,02-19-2018,Y,Veterinarian
